concept_id,activation_rate,mean_abs,energy_share
2951,0.0035035035,0.0006435926,2.4279308e-05
214,0.008842176,0.0006399532,2.4142013e-05
3343,0.0031698365,0.00063130335,2.38157e-05
2686,0.005672339,0.00063087925,2.3799701e-05
671,0.003003003,0.0006305636,2.3787794e-05
3323,0.00333667,0.0006173631,2.328981e-05
216,0.0061728396,0.00061226415,2.3097453e-05
2726,0.009175843,0.00060671516,2.288812e-05
279,0.003670337,0.0006034069,2.2763317e-05
1290,0.0025025024,0.000596427,2.2500002e-05
3942,0.0038371705,0.0005958252,2.24773e-05
1412,0.004004004,0.00059026043,2.226737e-05
704,0.003670337,0.00058169506,2.1944245e-05
1451,0.0025025024,0.0005786941,2.1831034e-05
1645,0.0028361694,0.0005680311,2.1428777e-05
1846,0.0068401736,0.000563914,2.1273461e-05
4020,0.010343677,0.00056223024,2.1209942e-05
4018,0.0068401736,0.00055704813,2.1014448e-05
3002,0.004337671,0.00055207335,2.0826776e-05
3658,0.009676343,0.00054409634,2.0525846e-05
753,0.003670337,0.0005408403,2.0403015e-05
3053,0.0045045046,0.0005371502,2.0263806e-05
3485,0.004004004,0.00053527,2.0192876e-05
4045,0.00333667,0.0005266541,1.9867844e-05
4016,0.002002002,0.0005231665,1.9736275e-05
1394,0.009342676,0.0005150838,1.9431358e-05
1900,0.004004004,0.00051275553,1.9343524e-05
2367,0.004671338,0.0005122373,1.9323976e-05
2685,0.0078411745,0.00050843385,1.918049e-05
3284,0.002669336,0.0005045066,1.9032335e-05
826,0.001668335,0.0005028008,1.8967987e-05
2011,0.0035035035,0.0005022532,1.8947328e-05
1897,0.003003003,0.0004989378,1.8822255e-05
1145,0.00333667,0.0004943608,1.864959e-05
3492,0.01001001,0.0004928312,1.8591887e-05
1344,0.0051718387,0.0004914839,1.8541059e-05
3855,0.0018351685,0.00048522768,1.8305047e-05
621,0.001668335,0.00047564026,1.7943365e-05
804,0.006339673,0.00047078734,1.776029e-05
3466,0.00333667,0.00047058554,1.7752676e-05
952,0.0035035035,0.00047009691,1.7734243e-05
2359,0.010844178,0.00046988693,1.7726323e-05
2789,0.001334668,0.00046873375,1.7682818e-05
1268,0.0015015015,0.00046007792,1.735628e-05
3178,0.0031698365,0.00045998232,1.7352673e-05
1979,0.0021688356,0.00045857875,1.7299724e-05
3478,0.0015015015,0.00045744586,1.7256987e-05
1501,0.007007007,0.00045566141,1.718967e-05
166,0.0021688356,0.00045016326,1.6982254e-05
4064,0.011678345,0.00044964402,1.6962666e-05
726,0.0018351685,0.00044092775,1.6633847e-05
3748,0.0021688356,0.00043778121,1.6515145e-05
1093,0.0038371705,0.0004353653,1.6424006e-05
3947,0.0015015015,0.0004298459,1.6215788e-05
164,0.007674341,0.0004226999,1.5946207e-05
2402,0.005672339,0.00042241218,1.5935353e-05
1905,0.003003003,0.00041935738,1.5820113e-05
1317,0.002669336,0.00041388383,1.5613625e-05
3887,0.006006006,0.00041341368,1.5595888e-05
2764,0.002335669,0.00041327343,1.5590596e-05
201,0.0011678345,0.00041050915,1.5486316e-05
3451,0.007674341,0.0004022664,1.517536e-05
1174,0.002335669,0.00040175667,1.5156132e-05
2703,0.0015015015,0.00040157032,1.5149101e-05
1233,0.002335669,0.00038964028,1.4699045e-05
895,0.0045045046,0.0003885774,1.4658948e-05
3493,0.0035035035,0.0003855567,1.4544993e-05
2688,0.005005005,0.00038402912,1.4487366e-05
3066,0.004004004,0.0003802027,1.4343015e-05
840,0.0041708373,0.00037747095,1.4239961e-05
1922,0.0021688356,0.0003759937,1.4184232e-05
2711,0.009342676,0.00037275566,1.4062079e-05
3844,0.001668335,0.00037234256,1.40464945e-05
2310,0.0065065064,0.00036919073,1.3927593e-05
783,0.0008341675,0.00036902557,1.3921362e-05
1942,0.00333667,0.00036818508,1.3889655e-05
433,0.0018351685,0.0003674548,1.3862105e-05
2281,0.0051718387,0.00036659127,1.3829529e-05
2697,0.0038371705,0.00036619094,1.3814427e-05
586,0.001668335,0.00036434922,1.3744949e-05
1895,0.0021688356,0.0003585462,1.3526032e-05
374,0.003670337,0.00035585585,1.3424539e-05
1149,0.002335669,0.00034519844,1.3022492e-05
3899,0.0028361694,0.00034154294,1.28845895e-05
1053,0.00333667,0.00033829338,1.2762001e-05
574,0.0038371705,0.00033585358,1.266996e-05
425,0.006006006,0.00033434364,1.2612998e-05
61,0.0041708373,0.00033103023,1.2488001e-05
735,0.0051718387,0.00033020962,1.2457043e-05
1873,0.005672339,0.0003292532,1.2420964e-05
2989,0.008341675,0.000326036,1.2299595e-05
2143,0.0031698365,0.00032470314,1.2249314e-05
628,0.0011678345,0.0003222122,1.2155344e-05
2522,0.0028361694,0.00031777675,1.1988018e-05
504,0.000667334,0.00031459352,1.1867932e-05
3742,0.004004004,0.0003119254,1.1767278e-05
3348,0.002669336,0.0003114289,1.1748548e-05
3434,0.0021688356,0.0003114205,1.17482305e-05
669,0.0015015015,0.00030777222,1.16106e-05
439,0.0038371705,0.0003076683,1.1606679e-05
2722,0.0001668335,0.0003072765,1.1591899e-05
1399,0.0038371705,0.0003013187,1.1367144e-05
733,0.001334668,0.000300095,1.1320981e-05
3881,0.001001001,0.00029783507,1.1235725e-05
387,0.001668335,0.00029714406,1.1209657e-05
530,0.0031698365,0.0002938624,1.1085857e-05
2085,0.0048381714,0.00028827434,1.087505e-05
2240,0.0028361694,0.00028404052,1.071533e-05
3695,0.0011678345,0.00028333665,1.0688777e-05
1354,0.0011678345,0.0002815525,1.062147e-05
3114,0.004337671,0.00028024547,1.0572164e-05
316,0.001668335,0.00027886612,1.0520128e-05
1137,0.0051718387,0.0002772942,1.0460828e-05
1279,0.0015015015,0.00027185728,1.02557215e-05
3892,0.0005005005,0.00026905074,1.0149846e-05
2209,0.0011678345,0.00026896078,1.0146452e-05
3594,0.0005005005,0.00026889992,1.01441565e-05
3509,0.0025025024,0.00026441948,9.975133e-06
291,0.0021688356,0.0002605847,9.830467e-06
3597,0.0035035035,0.00025911676,9.77509e-06
788,0.0018351685,0.00025888142,9.766212e-06
134,0.003003003,0.000258801,9.763178e-06
2510,0.002002002,0.00025836568,9.7467555e-06
3913,0.0021688356,0.00025809018,9.736363e-06
2178,0.0045045046,0.00025778078,9.72469e-06
1051,0.002002002,0.00025720408,9.702935e-06
672,0.005338672,0.0002559881,9.657062e-06
1512,0.005005005,0.0002539894,9.581662e-06
3605,0.001334668,0.00025063226,9.455015e-06
3265,0.0015015015,0.00024687604,9.313313e-06
1255,0.0025025024,0.00024597606,9.279362e-06
1468,0.0041708373,0.0002455578,9.263584e-06
3326,0.00333667,0.00023925965,9.025987e-06
2183,0.001001001,0.00023670675,8.92968e-06
3943,0.002335669,0.0002364269,8.9191235e-06
3628,0.00667334,0.00023635177,8.916289e-06
736,0.0028361694,0.00023552593,8.885135e-06
1004,0.0008341675,0.00023423217,8.836328e-06
3350,0.002335669,0.0002318754,8.747419e-06
3955,0.0015015015,0.0002285094,8.620438e-06
741,0.002002002,0.00022780905,8.594017e-06
283,0.001334668,0.00022710809,8.567574e-06
2450,0.0025025024,0.00022570061,8.5144775e-06
3081,0.001334668,0.0002238843,8.445958e-06
2065,0.001668335,0.00021869778,8.250298e-06
4077,0.0008341675,0.00021791064,8.220603e-06
1659,0.002335669,0.00021398359,8.072457e-06
2698,0.005338672,0.00021065984,7.947069e-06
2690,0.0008341675,0.00020906935,7.887069e-06
3812,0.003670337,0.00020583399,7.765016e-06
3022,0.001334668,0.00020413198,7.700808e-06
2481,0.0015015015,0.00020384896,7.6901315e-06
1836,0.003670337,0.00020315133,7.663813e-06
1792,0.0028361694,0.00020234735,7.633484e-06
3214,0.002002002,0.00019760453,7.454563e-06
1159,0.0028361694,0.00019628182,7.404664e-06
571,0.002669336,0.00019625004,7.4034647e-06
2672,0.000667334,0.00019620467,7.401753e-06
2397,0.0021688356,0.00019618015,7.400828e-06
1852,0.0071738404,0.00019346015,7.298217e-06
