image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
22,AnnualCrop_1018.jpg,global,1,2099,21.4255,2099,21.6565,True,1,1
22,AnnualCrop_1018.jpg,global,2,38459,21.0648,38459,21.4249,True,2,2
22,AnnualCrop_1018.jpg,global,3,4594,16.8479,4594,16.7944,True,3,3
22,AnnualCrop_1018.jpg,global,4,41801,13.6588,41801,13.9904,True,4,4
22,AnnualCrop_1018.jpg,global,5,33331,9.1032,33331,8.9332,True,5,5
22,AnnualCrop_1018.jpg,patch88,1,8403,2.4648,25790,1.2747,False,,4
22,AnnualCrop_1018.jpg,patch88,2,39589,1.704,16770,0.9909,False,,
22,AnnualCrop_1018.jpg,patch88,3,16094,1.4911,29095,0.7456,False,,
22,AnnualCrop_1018.jpg,patch88,4,25790,1.0681,1755,0.703,False,1,
22,AnnualCrop_1018.jpg,patch88,5,14809,0.913,12959,0.701,False,,
23,AnnualCrop_1019.jpg,global,1,2099,20.5157,2099,21.4616,True,1,1
23,AnnualCrop_1019.jpg,global,2,38459,20.3218,38459,21.2472,True,2,2
23,AnnualCrop_1019.jpg,global,3,4594,15.8547,4594,16.3785,True,3,3
23,AnnualCrop_1019.jpg,global,4,41801,12.3699,41801,13.5709,True,4,4
23,AnnualCrop_1019.jpg,global,5,33331,8.9689,33331,8.832,True,5,5
23,AnnualCrop_1019.jpg,patch88,1,39633,1.0867,38515,1.4134,False,,2
23,AnnualCrop_1019.jpg,patch88,2,38515,1.0142,34321,1.1516,False,1,
23,AnnualCrop_1019.jpg,patch88,3,25790,0.8365,25790,0.9886,True,3,3
23,AnnualCrop_1019.jpg,patch88,4,29095,0.7524,29095,0.8668,True,4,4
23,AnnualCrop_1019.jpg,patch88,5,25702,0.6084,19999,0.7949,False,,
24,AnnualCrop_102.jpg,global,1,2099,20.7106,2099,21.6495,True,1,1
24,AnnualCrop_102.jpg,global,2,38459,20.5966,38459,21.4414,True,2,2
24,AnnualCrop_102.jpg,global,3,4594,15.5074,4594,16.1398,True,3,3
24,AnnualCrop_102.jpg,global,4,41801,12.9853,41801,14.0341,True,4,4
24,AnnualCrop_102.jpg,global,5,33331,9.0624,33331,8.9205,True,5,5
24,AnnualCrop_102.jpg,patch88,1,9889,1.8228,38515,1.7871,False,,3
24,AnnualCrop_102.jpg,patch88,2,25790,1.3025,25790,1.2963,True,2,2
24,AnnualCrop_102.jpg,patch88,3,38515,1.0405,34321,1.2864,False,1,
24,AnnualCrop_102.jpg,patch88,4,4840,0.8246,36126,1.1645,False,,
24,AnnualCrop_102.jpg,patch88,5,16439,0.7618,16439,0.965,True,5,5
25,AnnualCrop_1020.jpg,global,1,2099,22.2643,2099,22.9818,True,1,1
25,AnnualCrop_1020.jpg,global,2,38459,21.3691,38459,22.2036,True,2,2
25,AnnualCrop_1020.jpg,global,3,4594,18.054,4594,17.9853,True,3,3
25,AnnualCrop_1020.jpg,global,4,41801,15.0284,41801,15.2336,True,4,4
25,AnnualCrop_1020.jpg,global,5,33331,8.669,33331,9.0187,True,5,5
25,AnnualCrop_1020.jpg,patch88,1,1915,1.5116,16627,1.1003,False,,
25,AnnualCrop_1020.jpg,patch88,2,32698,1.3703,38515,1.0963,False,,4
25,AnnualCrop_1020.jpg,patch88,3,32327,0.9594,34321,0.8862,False,,
25,AnnualCrop_1020.jpg,patch88,4,38515,0.9334,1946,0.8506,False,2,
25,AnnualCrop_1020.jpg,patch88,5,25790,0.8406,25790,0.835,True,5,5
26,AnnualCrop_1021.jpg,global,1,2099,19.7368,38459,20.5587,False,2,2
26,AnnualCrop_1021.jpg,global,2,38459,19.6416,2099,20.4437,False,1,1
26,AnnualCrop_1021.jpg,global,3,4594,15.3748,4594,15.6295,True,3,3
26,AnnualCrop_1021.jpg,global,4,41801,11.8003,41801,12.6729,True,4,4
26,AnnualCrop_1021.jpg,global,5,33331,8.4515,33331,8.4783,True,5,5
26,AnnualCrop_1021.jpg,patch88,1,25790,0.9972,38515,1.4931,False,2,3
26,AnnualCrop_1021.jpg,patch88,2,27607,0.947,25790,1.3766,False,,1
26,AnnualCrop_1021.jpg,patch88,3,38515,0.7219,29095,1.13,False,1,
26,AnnualCrop_1021.jpg,patch88,4,36131,0.7129,34321,1.058,False,,5
26,AnnualCrop_1021.jpg,patch88,5,34321,0.6958,19999,1.0281,False,4,
27,AnnualCrop_1022.jpg,global,1,2099,20.2153,2099,20.6413,True,1,1
27,AnnualCrop_1022.jpg,global,2,38459,20.0064,38459,20.5962,True,2,2
27,AnnualCrop_1022.jpg,global,3,4594,15.9318,4594,15.294,True,3,3
27,AnnualCrop_1022.jpg,global,4,41801,12.4127,41801,12.686,True,4,4
27,AnnualCrop_1022.jpg,global,5,33331,8.7247,33331,8.6548,True,5,5
27,AnnualCrop_1022.jpg,patch88,1,42949,1.3386,38515,1.5554,False,,3
27,AnnualCrop_1022.jpg,patch88,2,25790,0.861,25790,1.3672,True,2,2
27,AnnualCrop_1022.jpg,patch88,3,38515,0.7634,34321,1.2749,False,1,5
27,AnnualCrop_1022.jpg,patch88,4,16439,0.7032,40545,1.2496,False,,
27,AnnualCrop_1022.jpg,patch88,5,34321,0.6328,29767,1.0498,False,3,
28,AnnualCrop_1023.jpg,global,1,2099,22.7047,2099,22.7672,True,1,1
28,AnnualCrop_1023.jpg,global,2,38459,21.7977,38459,22.1416,True,2,2
28,AnnualCrop_1023.jpg,global,3,4594,18.091,4594,17.7508,True,3,3
28,AnnualCrop_1023.jpg,global,4,41801,14.849,41801,14.8916,True,4,4
28,AnnualCrop_1023.jpg,global,5,33331,8.8236,33331,8.904,True,5,5
28,AnnualCrop_1023.jpg,patch88,1,38515,0.8951,38515,1.4484,True,1,1
28,AnnualCrop_1023.jpg,patch88,2,34321,0.8154,40545,1.2643,False,4,
28,AnnualCrop_1023.jpg,patch88,3,29095,0.7901,29095,1.0956,True,3,3
28,AnnualCrop_1023.jpg,patch88,4,25911,0.7493,34321,1.0021,False,,2
28,AnnualCrop_1023.jpg,patch88,5,16439,0.7026,25790,0.9996,False,,
29,AnnualCrop_1024.jpg,global,1,2099,19.5739,2099,20.4312,True,1,1
